Financial year,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT,none
1999,67.6,45.8,41,12.4,,,,
2000,69.4,46.9,43,13,,,,
2001,70.2,46.8,45.2,12.5,,,,
2002,71.6,48.2,46.3,13,,,,
2003,73.7,49.2,48.3,12.9,,,,
2004,74.4,49.7,49.4,12.7,1.4,1.4,1.4,1.4,0
2005,76.8,50.6,51.2,12.8,9.9,9.9,9.9,9.9,0
2006,78.6,51.8,51.7,14.3,10.7,10.7,10.7,10.7,0
2007,78.9,52.7,51.7,14.3,11.1,11.1,11.1,11.1,0
2008,79.6,52.4,52.9,14.5,11,11,11,11,0
2009,78.5,52.4,53.5,14.4,11,11,11,11,0
2010,78.1,52.1,51.7,14.5,11.1,11.1,11.1,11.1,0
2011,75.3,51.6,51.6,14,10.7,10.7,10.7,10.7,0
2012,71.6,50.7,51.3,13.9,10.8,10.8,10.8,10.8,0
2013,69.7,49.3,50.4,13.4,10.8,10.8,10.8,10.8,0
2014,70.3,46.9,53.1,13,10.6,10.6,10.6,10.6,0
2015,71.2,47.1,55.4,13.4,10.5,10.5,10.5,10.5,0
2016,5,5.3,56.4,12.7,80,30.6,40.6,50.6,0
2017,5,5.3,55.8,12.6,11,11,11,11,0
2018,71.7,44.7,56.1,12.5,10.8,10.8,10.8,10.8,0
2019,69.8,44.3,55.4,12.2,10.6,10.6,10.6,10.6,0
2020,68.1,43.4,54.5,11.9,10.7,10.7,10.7,10.7,0
2021,33.3,21.6,27.1,5.7,5.7,5.7,5.7,5.7,0
